timestamp,tp9,af7,af8,tp10,hr
1729906382.375,-1000.000,-1000.000,-604.492,687.988,0.000
1729906382.378,115.234,-142.090,-240.723,-860.352,0.000
1729906382.382,-742.188,-775.879,523.438,-191.406,0.000
1729906382.386,188.477,293.457,177.246,-1000.000,0.000
1729906382.390,-1000.000,-1000.000,-599.121,-30.762,0.000
1729906382.394,-267.090,-383.789,-573.730,-776.367,0.000
1729906382.398,-808.105,-859.375,255.371,208.008,0.000
1729906382.402,251.953,521.973,382.812,-1000.000,0.000
1729906382.406,-1000.000,-1000.000,-447.754,-268.066,0.000
1729906382.410,-549.316,-894.043,-726.562,-806.152,0.000
1729906382.414,-937.500,649.414,46.387,303.711,0.000
1729906382.417,611.328,955.078,437.012,-1000.000,0.000
1729906382.421,-944.336,-502.441,-281.738,-542.969,0.000
1729906382.425,-1000.000,-1000.000,-806.641,-956.543,0.000
1729906382.429,329.590,-18.066,-201.172,733.887,0.000
1729906382.433,-856.934,-825.684,473.633,-824.707,0.000
1729906382.437,-244.141,28.809,-106.445,-1000.000,0.000
1729906382.441,-1000.000,-1000.000,-850.098,343.750,0.000
1729906382.445,-217.773,-269.531,-539.062,-817.383,0.000
1729906382.449,-829.590,-830.566,321.777,-120.605,0.000
1729906382.453,214.844,244.141,106.445,-1000.000,0.000
1729906382.457,-1000.000,-1000.000,-726.562,-195.312,0.000
1729906382.460,-317.871,-629.883,-726.562,-808.105,0.000
1729906382.464,-832.520,976.562,106.934,228.516,0.000
1729906382.468,252.441,506.348,360.840,-1000.000,0.000
1729906382.472,-1000.000,-991.211,-493.164,-269.043,0.000
1729906382.476,-794.922,-1000.000,-852.539,-810.059,0.000
1729906382.480,826.660,305.176,-58.594,389.160,0.000
1729906382.484,704.102,974.609,425.781,-1000.000,0.000
1729906382.488,-865.723,-484.863,-336.426,-681.641,0.000
1729906382.492,-1000.000,-1000.000,-884.766,908.691,0.000
1729906382.496,77.637,-160.645,-356.445,914.062,0.000
1729906382.499,-829.102,-838.379,402.832,-610.840,0.000
1729906382.503,-123.047,107.422,-106.445,-1000.000,0.000
1729906382.507,-1000.000,-1000.000,-899.902,229.004,0.000
1729906382.511,-226.074,-319.336,-557.129,-777.344,0.000
1729906382.515,-823.730,-843.750,308.105,66.406,0.000
1729906382.519,239.258,336.914,196.289,-1000.000,0.000
1729906382.523,-1000.000,-1000.000,-625.977,-228.027,0.000
1729906382.527,-362.793,-665.527,-711.914,-798.828,0.000
1729906382.531,-847.656,903.320,125.000,227.539,0.000
1729906382.535,495.117,794.434,412.598,-1000.000,0.000
1729906382.539,-1000.000,-738.281,-408.691,-272.461,0.000
1729906382.542,-777.832,-1000.000,-801.758,-827.637,0.000
1729906382.546,762.695,281.250,-47.363,599.609,0.000
1729906382.550,-920.410,-815.430,546.387,-1000.000,0.000
1729906382.554,-342.773,-28.320,-116.699,-687.500,0.000
